frame_start, 281, frame_end, 321, speed, 59.57 
frame_start, 436, frame_end, 476, speed, 51.92 
frame_start, 757, frame_end, 797, speed, 50.59 
frame_start, 806, frame_end, 846, speed, 50.06 
frame_start, 2162, frame_end, 2202, speed, 23.19 
frame_start, 2271, frame_end, 2311, speed, 21.02 
frame_start, 2337, frame_end, 2377, speed, 23.36 
frame_start, 2404, frame_end, 2444, speed, 29.68 
frame_start, 2463, frame_end, 2503, speed, 26.54 
frame_start, 2539, frame_end, 2579, speed, 25.78 
frame_start, 2597, frame_end, 2637, speed, 29.12 
frame_start, 2798, frame_end, 2838, speed, 46.94 
frame_start, 2906, frame_end, 2946, speed, 40.72 
frame_start, 3479, frame_end, 3519, speed, 49.07 
frame_start, 4594, frame_end, 4634, speed, 21.59 
frame_start, 4667, frame_end, 4707, speed, 26.63 
frame_start, 4802, frame_end, 4842, speed, 44.74 
frame_start, 4894, frame_end, 4934, speed, 48.18 
frame_start, 5171, frame_end, 5211, speed, 41.97 
frame_start, 5302, frame_end, 5342, speed, 53.02 
frame_start, 5361, frame_end, 5401, speed, 52.97 
frame_start, 5428, frame_end, 5468, speed, 53.59 
frame_start, 5519, frame_end, 5559, speed, 49.24 
frame_start, 5647, frame_end, 5687, speed, 52.97 
frame_start, 5711, frame_end, 5751, speed, 49.97 
frame_start, 5760, frame_end, 5800, speed, 48.42 
