frame_start, 254, frame_end, 294, speed, 49.54 
frame_start, 326, frame_end, 366, speed, 50.76 
frame_start, 417, frame_end, 457, speed, 51.56 
frame_start, 495, frame_end, 535, speed, 51.58 
frame_start, 1915, frame_end, 1955, speed, 20.29 
frame_start, 1992, frame_end, 2032, speed, 24.55 
frame_start, 2069, frame_end, 2109, speed, 31.67 
frame_start, 2203, frame_end, 2243, speed, 50.76 
frame_start, 2307, frame_end, 2347, speed, 46.29 
frame_start, 2526, frame_end, 2566, speed, 46.65 
frame_start, 2656, frame_end, 2696, speed, 41.75 
frame_start, 2721, frame_end, 2761, speed, 45.95 
frame_start, 2798, frame_end, 2838, speed, 49.54 
frame_start, 4320, frame_end, 4360, speed, 18.31 
frame_start, 4378, frame_end, 4418, speed, 21.72 
frame_start, 4439, frame_end, 4479, speed, 26.8 
frame_start, 4570, frame_end, 4610, speed, 46.6 
frame_start, 4643, frame_end, 4683, speed, 54.88 
frame_start, 4749, frame_end, 4789, speed, 45.31 
frame_start, 6846, frame_end, 6886, speed, 31.51 
frame_start, 6937, frame_end, 6977, speed, 33.96 
frame_start, 7105, frame_end, 7145, speed, 48.01 
frame_start, 7171, frame_end, 7211, speed, 47.15 
frame_start, 7321, frame_end, 7361, speed, 50.71 
frame_start, 7501, frame_end, 7541, speed, 56.01 
frame_start, 7757, frame_end, 7797, speed, 61.56 
frame_start, 7877, frame_end, 7917, speed, 49.36 
frame_start, 9153, frame_end, 9193, speed, 19.32 
frame_start, 9214, frame_end, 9254, speed, 24.15 
frame_start, 9539, frame_end, 9579, speed, 37.45 
frame_start, 9610, frame_end, 9650, speed, 50.67 
frame_start, 9760, frame_end, 9800, speed, 47.5 
frame_start, 10133, frame_end, 10173, speed, 35.15 
frame_start, 10208, frame_end, 10248, speed, 44.47 
frame_start, 10496, frame_end, 10536, speed, 45.71 
frame_start, 11513, frame_end, 11553, speed, 22.78 
frame_start, 11594, frame_end, 11634, speed, 23.06 
frame_start, 11668, frame_end, 11708, speed, 27.81 
frame_start, 11819, frame_end, 11859, speed, 48.82 
frame_start, 12016, frame_end, 12056, speed, 55.58 
